"","name","peak_pos","debut_date","peak_date","weeks_charting"
"1","Anti-Hero","1","11.05.22","11.05.22","53"
"2","You Belong With Me","2","11.22.08","08.22.09","50"
"3","Shake It Off","1","09.06.14","09.06.14","50"
"4","Love Story","4","09.27.08","01.17.09","49"
"5","Teardrops On My Guitar","13","03.24.07","03.01.08","48"
"6","Blank Space","1","11.15.14","11.29.14","38"
"7","I Knew You Were Trouble.","2","10.27.12","01.12.13","36"
"8","Our Song","16","10.13.07","01.19.08","36"
"9","Delicate","12","03.24.18","07.28.18","35"
"10","Style","6","11.15.14","03.21.15","32"
"11","Karma","2","11.05.22","06.10.23","30"
"12","Lavender Haze","2","11.05.22","11.05.22","29"
"13","Wildest Dreams","5","11.15.14","11.07.15","27"
"14","Bad Blood","1","11.15.14","06.06.15","25"
"15","Cruel Summer","1","09.07.19","10.28.23","25"
"16","We Are Never Ever Getting Back Together","1","08.25.12","09.01.12","24"
"17","I Don't Wanna Live Forever (Fifty Shades Darker)","2","12.31.16","03.04.17","23"
"18","Mine","3","08.21.10","08.21.10","23"
"19","White Horse","13","11.29.08","11.29.08","22"
"20","Red","6","10.20.12","10.20.12","22"
"21","Lover","10","08.31.19","09.07.19","22"
"22","You Need To Calm Down","2","06.29.19","06.29.19","21"
"23","Two Is Better Than One","18","09.26.09","01.30.10","21"
"24","Fifteen","23","11.29.08","12.19.09","21"
"25","Sparks Fly","17","11.13.10","11.13.10","20"
"26","Tim McGraw","40","09.23.06","01.13.07","20"
"27","Should've Said No","33","06.07.08","08.09.08","20"
"28","Picture To Burn","28","03.01.08","05.17.08","20"
"29","Back To December","6","10.30.10","10.30.10","20"
"30","Mean","11","11.06.10","11.06.10","20"
"31","Begin Again","7","10.13.12","10.13.12","20"
"32","Everything Has Changed","32","11.10.12","10.26.13","20"
"33","Ours","13","11.26.11","11.26.11","20"
"34","Look What You Made Me Do","1","09.09.17","09.16.17","20"
"35","...Ready For It?","4","09.23.17","09.23.17","20"
"36","22","20","11.10.12","05.11.13","20"
"37","Highway Don't Care","22","02.23.13","06.08.13","20"
"38","ME!","2","05.04.19","05.11.19","20"
"39","Willow","1","12.26.20","12.26.20","20"
"40","Both Of Us","18","05.19.12","05.19.12","19"
"41","Today Was A Fairytale","2","02.06.10","02.06.10","18"
"42","Safe & Sound","30","01.07.12","01.07.12","17"
"43","Fearless","9","11.01.08","11.01.08","15"
"44","All Too Well (Taylor's Version)","1","11.27.21","11.27.21","15"
"45","Cardigan","1","08.08.20","08.08.20","14"
"46","End Game","18","12.09.17","01.27.18","14"
"47","Message In A Bottle (Taylor's Version) (From The Vault)","45","11.27.21","11.27.21","13"
"48","Eyes Open","19","04.07.12","04.07.12","13"
"49","The Story Of Us","41","11.13.10","11.13.10","12"
"50","Out Of The Woods","18","11.01.14","11.01.14","10"
"51","Bejeweled","6","11.05.22","11.05.22","9"
"52","Snow On The Beach","4","11.05.22","11.05.22","8"
"53","Midnight Rain","5","11.05.22","11.05.22","8"
"54","New Romantics","46","03.21.15","04.30.16","8"
"55","Crazier","17","04.11.09","05.02.09","8"
"56","The Man","23","09.07.19","09.07.19","8"
"57","Maroon","3","11.05.22","11.05.22","7"
"58","I Can See You (Taylor's Version) (From The Vault)","5","07.22.23","07.22.23","7"
"59","All Of The Girls You Loved Before","12","04.01.23","04.01.23","6"
"60","Vigilante Shit","10","11.05.22","11.05.22","6"
"61","You're On Your Own, Kid","8","11.05.22","11.05.22","6"
"62","The 1","4","08.08.20","08.08.20","6"
"63","Exile","6","08.08.20","08.08.20","5"
"64","You're Not Sorry","11","11.15.08","11.15.08","5"
"65","Sweet Nothing","15","11.05.22","11.05.22","5"
"66","Question...?","7","11.05.22","11.05.22","5"
"67","Labyrinth","14","11.05.22","11.05.22","5"
"68","Mastermind","13","11.05.22","11.05.22","5"
"69","Christmas Tree Farm (Old Timey Version)","62","12.11.21","01.01.22","5"
"70","Bigger Than The Whole Sky","21","11.05.22","11.05.22","4"
"71","Would've, Could've, Should've","20","11.05.22","11.05.22","4"
"72","The Great War","26","11.05.22","11.05.22","4"
"73","Gorgeous","13","11.11.17","11.11.17","4"
"74","Speak Now","8","10.23.10","10.23.10","3"
"75","Change","10","08.30.08","08.30.08","3"
"76","Jump Then Fall","10","11.14.09","11.14.09","3"
"77","Forever & Always","34","11.29.08","11.14.09","3"
"78","The Archer","38","08.03.19","09.07.19","3"
"79","Mr. Perfectly Fine (Taylor's Version) (From The Vault)","30","04.17.21","04.24.21","3"
"80","Hits Different","27","06.10.23","06.10.23","3"
"81","Paris","32","11.05.22","11.05.22","3"
"82","High Infidelity","33","11.05.22","11.05.22","3"
"83","The Joker And The Queen","21","02.26.22","02.26.22","3"
"84","Enchanted (Taylor's Version)","19","07.22.23","07.22.23","3"
"85","Sparks Fly (Taylor's Version)","22","07.22.23","07.22.23","2"
"86","State Of Grace (Taylor's Version)","18","11.27.21","11.27.21","2"
"87","Glitch","41","11.05.22","11.05.22","2"
"88","Dear Reader","45","11.05.22","11.05.22","2"
"89","Back To December (Taylor's Version)","16","07.22.23","07.22.23","2"
"90","Mine (Taylor's Version)","15","07.22.23","07.22.23","2"
"91","Champagne Problems","21","12.26.20","12.26.20","2"
"92","No Body, No Crime","34","12.26.20","12.26.20","2"
"93","'Tis The Damn Season","39","12.26.20","12.26.20","2"
"94","Betty","42","08.08.20","08.08.20","2"
"95","I Bet You Think About Me (Taylor's Version) (From The Vault)","22","11.27.21","11.27.21","2"
"96","Love Story (Taylor's Version)","11","02.27.21","02.27.21","2"
"97","You All Over Me (Taylor's Version) (From The Vault)","51","04.10.21","04.10.21","2"
"98","Red (Taylor's Version)","25","11.27.21","11.27.21","2"
"99","I Forgot That You Existed","28","09.07.19","09.07.19","2"
"100","August","23","08.08.20","08.08.20","2"
"101","Invisible String","37","08.08.20","08.08.20","2"
"102","The Last Great American Dynasty","13","08.08.20","08.08.20","2"
"103","Mirrorball","26","08.08.20","08.08.20","2"
"104","Seven","35","08.08.20","08.08.20","2"
"105","My Tears Ricochet","16","08.08.20","08.08.20","2"
"106","Babe","72","05.05.18","05.05.18","2"
"107","Untouchable","19","11.14.09","11.14.09","2"
"108","The Other Side Of The Door","23","11.14.09","11.14.09","2"
"109","Haunted","63","11.13.10","11.13.10","2"
"110","Ronan","16","09.22.12","09.22.12","2"
"111","If This Was A Movie","10","11.26.11","11.26.11","2"
"112","Call It What You Want","27","11.25.17","11.25.17","2"
"113","Welcome To New York","48","11.08.14","11.08.14","2"
"114","Sweeter Than Fiction","34","11.09.13","11.09.13","1"
"115","The Moment I Knew","64","01.26.13","01.26.13","1"
"116","You Are In Love","83","03.14.15","03.14.15","1"
"117","Wonderland","51","03.07.15","03.07.15","1"
"118","Superman","26","11.26.11","11.26.11","1"
"119","All Too Well","80","11.10.12","11.10.12","1"
"120","State Of Grace","13","11.03.12","11.03.12","1"
"121","I Almost Do","65","11.10.12","11.10.12","1"
"122","Stay Stay Stay","91","11.10.12","11.10.12","1"
"123","Last Kiss","71","11.13.10","11.13.10","1"
"124","Long Live","85","11.13.10","11.13.10","1"
"125","Dear John","54","11.13.10","11.13.10","1"
"126","Never Grow Up","84","11.13.10","11.13.10","1"
"127","Enchanted","75","11.13.10","11.13.10","1"
"128","Better Than Revenge","56","11.13.10","11.13.10","1"
"129","Superstar","26","11.14.09","11.14.09","1"
"130","Breathless","72","02.13.10","02.13.10","1"
"131","Innocent","27","11.13.10","11.13.10","1"
"132","Hey Stephen","94","11.29.08","11.29.08","1"
"133","The Way I Loved You","72","11.29.08","11.29.08","1"
"134","Come In With The Rain","30","11.14.09","11.14.09","1"
"135","Breathe","87","11.29.08","11.29.08","1"
"136","Paper Rings","45","09.07.19","09.07.19","1"
"137","Soon You'll Get Better","63","09.07.19","09.07.19","1"
"138","Daylight","89","09.07.19","09.07.19","1"
"139","London Boy","62","09.07.19","09.07.19","1"
"140","Afterglow","75","09.07.19","09.07.19","1"
"141","False God","77","09.07.19","09.07.19","1"
"142","Death By A Thousand Cuts","67","09.07.19","09.07.19","1"
"143","Miss Americana & The Heartbreak Prince","49","09.07.19","09.07.19","1"
"144","It's Nice To Have A Friend","92","09.07.19","09.07.19","1"
"145","I Think He Knows","51","09.07.19","09.07.19","1"
"146","Cornelia Street","57","09.07.19","09.07.19","1"
"147","Peace","58","08.08.20","08.08.20","1"
"148","Hoax","71","08.08.20","08.08.20","1"
"149","Epiphany","57","08.08.20","08.08.20","1"
"150","This Is Me Trying","39","08.08.20","08.08.20","1"
"151","Illicit Affairs","44","08.08.20","08.08.20","1"
"152","Mad Woman","47","08.08.20","08.08.20","1"
"153","Christmas Tree Farm","59","12.21.19","12.21.19","1"
"154","Only The Young","50","02.15.20","02.15.20","1"
"155","Everything Has Changed (Taylor's Version)","63","11.27.21","11.27.21","1"
"156","Stay Stay Stay (Taylor's Version)","67","11.27.21","11.27.21","1"
"157","Babe (Taylor's Version) (From The Vault)","69","11.27.21","11.27.21","1"
"158","Nothing New (Taylor's Version) (From The Vault)","43","11.27.21","11.27.21","1"
"159","Run (Taylor's Version) (From The Vault)","47","11.27.21","11.27.21","1"
"160","I Knew You Were Trouble (Taylor's Version)","46","11.27.21","11.27.21","1"
"161","22 (Taylor's Version)","52","11.27.21","11.27.21","1"
"162","We Are Never Ever Getting Back Together (Taylor's Version)","55","11.27.21","11.27.21","1"
"163","Gold Rush","40","12.26.20","12.26.20","1"
"164","Long Story Short","68","12.26.20","12.26.20","1"
"165","Cowboy Like Me","71","12.26.20","12.26.20","1"
"166","Tolerate It","45","12.26.20","12.26.20","1"
"167","Ivy","61","12.26.20","12.26.20","1"
"168","Evermore","57","12.26.20","12.26.20","1"
"169","Coney Island","63","12.26.20","12.26.20","1"
"170","Closure","82","12.26.20","12.26.20","1"
"171","Dorothea","67","12.26.20","12.26.20","1"
"172","Happiness","52","12.26.20","12.26.20","1"
"173","Marjorie","75","12.26.20","12.26.20","1"
"174","You Belong With Me (Taylor's Version)","75","04.24.21","04.24.21","1"
"175","Fifteen (Taylor's Version)","88","04.24.21","04.24.21","1"
"176","Fearless (Taylor's Version)","71","04.24.21","04.24.21","1"
"177","Forever & Always (Taylor's Version)","65","04.24.21","04.24.21","1"
"178","The Way I Loved You (Taylor's Version)","94","04.24.21","04.24.21","1"
"179","Renegade","73","07.17.21","07.17.21","1"
"180","Wildest Dreams (Taylor's Version)","37","10.02.21","10.02.21","1"
"181","Electric Touch (Taylor's Version) (From The Vault)","35","07.22.23","07.22.23","1"
"182","Castles Crumbling (Taylor's Version) (From The Vault)","31","07.22.23","07.22.23","1"
"183","Treacherous (Taylor's Version)","54","11.27.21","11.27.21","1"
"184","Better Man (Taylor's Version) (From The Vault)","51","11.27.21","11.27.21","1"
"185","I Almost Do (Taylor's Version)","59","11.27.21","11.27.21","1"
"186","The Last Time (Taylor's Version)","66","11.27.21","11.27.21","1"
"187","Holy Ground (Taylor's Version)","76","11.27.21","11.27.21","1"
"188","The Very First Night (Taylor's Version) (From The Vault)","61","11.27.21","11.27.21","1"
"189","Begin Again (Taylor's Version)","77","11.27.21","11.27.21","1"
"190","The Lucky One (Taylor's Version)","84","11.27.21","11.27.21","1"
"191","Sad Beautiful Tragic (Taylor's Version)","85","11.27.21","11.27.21","1"
"192","Forever Winter (Taylor's Version) (From The Vault)","79","11.27.21","11.27.21","1"
"193","The Moment I Knew (Taylor's Version)","83","11.27.21","11.27.21","1"
"194","Starlight (Taylor's Version)","90","11.27.21","11.27.21","1"
"195","Come Back...Be Here (Taylor's Version)","87","11.27.21","11.27.21","1"
"196","This Love (Taylor's Version)","50","05.21.22","05.21.22","1"
"197","Carolina","60","07.09.22","07.09.22","1"
"198","Dear John (Taylor's Version)","26","07.22.23","07.22.23","1"
"199","Better Than Revenge (Taylor's Version)","28","07.22.23","07.22.23","1"
"200","Speak Now (Taylor's Version)","33","07.22.23","07.22.23","1"
"201","When Emma Falls In Love (Taylor's Version) (From The Vault)","34","07.22.23","07.22.23","1"
"202","Mean (Taylor's Version)","39","07.22.23","07.22.23","1"
"203","The Story Of Us (Taylor's Version)","42","07.22.23","07.22.23","1"
"204","Foolish One (Taylor's Version) (From The Vault)","40","07.22.23","07.22.23","1"
"205","Timeless (Taylor's Version) (From The Vault)","48","07.22.23","07.22.23","1"
"206","Haunted (Taylor's Version)","50","07.22.23","07.22.23","1"
"207","Long Live (Taylor's Version)","53","07.22.23","07.22.23","1"
"208","Last Kiss (Taylor's Version)","57","07.22.23","07.22.23","1"
"209","Never Grow Up (Taylor's Version)","58","07.22.23","07.22.23","1"
"210","Innocent (Taylor's Version)","63","07.22.23","07.22.23","1"
"211","Ours (Taylor's Version)","69","07.22.23","07.22.23","1"
"212","Superman (Taylor's Version)","74","07.22.23","07.22.23","1"
